Summary,Issue key,Issue id,Parent id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Due Date,Votes,Labels,Labels,Description,Environment,Watchers,Watchers,Watchers,Watchers,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Inward issue link (Issue split),Outward issue link (Issue split),Inward issue link (Relates),Outward issue link (Relates),Attachment,Attachment,Attachment,Custom field (Business Value),Custom field (Commit Levels),Custom field (Current Status),Custom field (Design),Custom field (Design Status),Custom field (Documentation Impact),Custom field (Documentation Status),Custom field (Epic Color),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Executed),Custom field (Found in Commit),Custom field (Function Test Status),Custom field (Must Fix),Custom field (Original story points),Custom field (Parent Link),Custom field (Rank),Custom field (Release Note),Custom field (Release Note Required),Custom field (Root Cause Analysis),Custom field (SDK Impact),Custom field (Sample/Tutorial),Custom field (Steps to Reproduce),Custom field (Story Points),Custom field (System Test Impact),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Team),Custom field (Test Plan),Custom field (Test Result),Custom field (Test Result Details),Custom field (Test Type),Custom field (Triaged),Custom field (Usage),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Workaround),Custom field (gitCommitsReferenced),Comment,Comment,Comment,Comment
Reorganize repository to make room for more smart contracts,GRID-1,37232,,New Feature,Complete,GRID,Grid,software,amundson,,,Medium,Done,amundson,amundson,amundson,30/Jan/19 4:20 AM,22/Feb/19 1:58 AM,28/Oct/23 2:25 AM,22/Feb/19 1:58 AM,,0,,,,,amundson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|i009hr:",,,,Unset,Unset,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),amundson,,,,,,,,,
Implement a dynamic Grid front-end which will display blockchain data of any RecordType,GRID-2,37891,,Epic,To Do,GRID,Grid,software,amundson,,,Medium,,,delventhalz,delventhalz,22/Feb/19 3:53 AM,21/May/19 11:31 PM,28/Oct/23 2:25 AM,,,0,hackillinois,help-wanted,"The existing [Track and Trace|https://github.com/hyperledger/grid-contrib/tree/master/track_and_trace] client implementations are hard-coded for one RecordType (""fish"", and ""assets""). A more dynamic client which pulls builds a UI appropriate to any RecordType out of the box would make setting up Grid demos considerably easier. This client could then become the canonical example, replacing both the fish and asset versions.

 

Full specification for the Universal Client can be found in its original RFC. Note that while it was written with the old Sawtooth Supply Chain project in mind, it applies more or less as-is to Grid:
 [https://github.com/hyperledger/sawtooth-rfcs/blob/master/text/0014-supply-chain-universal-client.md] ",,delventhalz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,ghx-label-12,,Universal Client,To Do,No,,Unset,No,,,"1|i00odo:",,,,Unset,Unset,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),delventhalz,,,,,,,,,
Replace the existing JS ledger sync with a Rust implementation,GRID-3,37892,,Epic,To Do,GRID,Grid,software,amundson,,,Medium,,,delventhalz,delventhalz,22/Feb/19 3:58 AM,22/May/19 1:08 AM,28/Oct/23 2:25 AM,,,0,hackillinois,help-wanted,"The existing [Track and Trace ledger sync|https://github.com/hyperledger/grid-contrib/tree/master/track_and_trace/ledger_sync] (aka state delta export) is implemented in JavaScript/Node.js. In order to bring this component in line with the rest of the Grid repo, it should be refactored into Rust. The refactor should be fully functionally equivalent to the existing JS implementation.",,delventhalz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,ghx-label-12,,Rust Ledger Sync,To Do,No,,Unset,No,,,"1|i00odj:0009",,,,Unset,Unset,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),delventhalz,,,,,,,,,
Replace the existing JS Server with a Rust implementation,GRID-4,37893,,Epic,To Do,GRID,Grid,software,amundson,,,Medium,,,delventhalz,delventhalz,22/Feb/19 4:02 AM,24/Feb/21 2:56 AM,28/Oct/23 2:25 AM,,,0,hackillinois,help-wanted,"The existing implementation of the [Track and Trace server|https://github.com/hyperledger/grid-contrib/tree/master/track_and_trace/server] (aka REST API) has been implemented in JavaScript/Node.js. In order to bring this component in-line with the rest of the Grid repo, it should be refactored into Rust and added to the Grid daemon (which currently uses Actix).",,amundson,delventhalz,gilescope,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,ghx-label-12,,Rust REST API,To Do,No,,Unset,No,,,"1|i00odj:0006",,,,Unset,Unset,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),amundson,delventhalz,gilescope,,,,"17/Apr/19 4:19 AM;amundson;Updated the description from Rocket to Actix, because the Grid Daemon uses stable Rust. :(;;;","24/Feb/21 2:56 AM;gilescope;rocket is almost stable now (v soon);;;",,
2019-03 license scanning results,GRID-5,39410,,Bug,Backlog,GRID,Grid,software,amundson,,,Medium,,amundson,ryjones,dhuseby,20/Apr/19 4:12 AM,01/Oct/21 3:13 AM,28/Oct/23 2:25 AM,,,0,license,,"Issues to address from the latest software license scan. The attached .txt file has the notes, the attached .xls has the details, the attached .spdx file is for scripts to chew on.",,amundson,,,,,,,,,,,,,,,,,,,,,,,"20/Apr/19 4:12 AM;dhuseby;grid-2019-03-27.spdx;https://jira.hyperledger.org/secure/attachment/17125/grid-2019-03-27.spdx","20/Apr/19 4:12 AM;dhuseby;grid-2019-03-27.xlsx;https://jira.hyperledger.org/secure/attachment/17124/grid-2019-03-27.xlsx","20/Apr/19 4:12 AM;dhuseby;grid-notes-2019-03-27.txt;https://jira.hyperledger.org/secure/attachment/17123/grid-notes-2019-03-27.txt",,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|i00ljr:",,,,Unset,Unset,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),amundson,,,,,,"21/May/19 11:54 PM;amundson;Copying the ""notes"" out of the attached text file:

Notes for grid scan 2019-03-27:

1) In grid-rfcs, the LICENSE-APACHE and README.md files state that the repository is licensed under Apache-2.0. However, it appears that grid-rfcs is intended to be primarily a documentation repository -- is that correct? If so, the project license for grid-rfcs should likely be Creative Commons Attribution 4.0, also called CC-BY-4.0, rather than Apache-2.0.

2) In the ""No license found"" tab of the spreadsheet, the files with ""No license found"" do not contain license notices that were detected from our scanning. Where possible, for those that contain Hyperledger code, Apache-2.0 comments should be added. This can be done by adding a comment with an SPDX short-form identifier, such as:

    SPDX-License-Identifier: Apache-2.0

Note that the files in this tab listed as ""third party directory"", ""excluded file extension"" or ""empty file"" do not need to have these notices added.

3) Creative Commons Attribution 4.0, CC-BY-4.0, is the license for Hyperledger documentation. Consider adding notices to any Hyperledger documentation files, such as:

    SPDX-License-Identifier: CC-BY-4.0

More information for #2 and #3 can be found on the Hyperledger wiki, at https://wiki.hyperledger.org/display/HYP/Copyright+and+License+Policy
;;;","21/May/19 11:57 PM;amundson;Re: ""1) In grid-rfcs, the LICENSE-APACHE and README.md files state that the repository is licensed under Apache-2.0. However, it appears that grid-rfcs is intended to be primarily a documentation repository – is that correct? If so, the project license for grid-rfcs should likely be Creative Commons Attribution 4.0, also called CC-BY-4.0, rather than Apache-2.0.""

Apache 2.0 in that repository is intentional as we want the concepts contributed to be under that license.;;;","22/May/19 12:03 AM;amundson;The spreadsheet contains mostly false positives. Can this be cleaned up?;;;","22/May/19 12:05 AM;amundson;Better yet, can you just post a comment here on which files need to be addressed?;;;"
(closed - incorrect task),GRID-6,39497,,Task,Complete,GRID,Grid,software,amundson,,,High,Done,,achenette,achenette,25/Apr/19 6:30 AM,25/Apr/19 6:32 AM,28/Oct/23 2:25 AM,25/Apr/19 6:32 AM,,0,,,,,achenette,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|hzwu9b:4",,,,Unset,Unset,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),achenette,,,,,,,,,
Grid Daemon,GRID-7,39834,,Epic,Complete,GRID,Grid,software,amundson,,,Medium,Done,amundson,agunde,agunde,16/May/19 2:35 AM,22/May/19 1:37 AM,28/Oct/23 2:25 AM,22/May/19 1:36 AM,,0,,,"The Grid Daemon is one process that will include a Rest API that provides routes to fetch and submit transactions, starting with Pike and Grid Schema. It will also include the corresponding State delta export for the Pike and Grid Schemas. ",,agunde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,ghx-label-2,,Grid Daemon,Done,No,,Unset,No,,,"1|i00nun:",,,,Unset,Unset,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),agunde,,,,,,,,,
Update Grid Cli to send Sabre Transactions,GRID-8,39835,,Improvement,Complete,GRID,Grid,software,amundson,,,Highest,Done,agunde,agunde,agunde,16/May/19 2:40 AM,07/Jun/19 4:59 AM,28/Oct/23 2:25 AM,07/Jun/19 4:59 AM,,0,,,"Currently the Grid cli send pike and schema transactions, this needs to be updated to be wrapped in a Sabre Transaction. This will enable use to run the Grid smart contracts as sabre transactions and still interact with them in the cli. ",,agunde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,GRID-37,,,No,,Unset,No,,,"1|i00ljk:",,,,Unset,Unset,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),agunde,,,,,,,,,
Grid Communications,GRID-9,39864,,Epic,Backlog,GRID,Grid,software,amundson,,,Medium,,amundson,agunde,agunde,17/May/19 12:53 AM,22/May/19 1:41 AM,28/Oct/23 2:25 AM,,,0,,,"We need to create an initial set of things to share about Grid  (Videos, Whitepaper, GUIs, visual content). This epic will track the initial creation of the content.",,agunde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,ghx-label-12,,Grid Communications,To Do,No,,Unset,No,,,"1|i00odj:0002",,,,Unset,Unset,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),agunde,,,,,,,,,
Integrate Track and Trace,GRID-10,39865,,Epic,Backlog,GRID,Grid,software,amundson,,,Medium,,amundson,agunde,agunde,17/May/19 1:05 AM,01/Oct/19 5:20 AM,28/Oct/23 2:25 AM,,,0,,,"This epic includes:
- integrating state delta export (SDE) and the REST API into the Grid daemon
- integrating Pike and Schema into Track and Trace

Track and Trace SDE and REST API components will be rewritten into Rust so they can be added to the Grid Daemon.

The Track and Trace UI will remain in the contrib repository but will need to be updated (due to Pike/Schema integration).
",,agunde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,ghx-label-2,,Integrate Track and Trace,To Do,No,,Unset,No,,,"1|i00cx9:",,,,Unset,Unset,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),agunde,,,,,,,,,
Track and Trace 0.1,GRID-11,39866,,Epic,Complete,GRID,Grid,software,amundson,,,Medium,Done,amundson,agunde,agunde,17/May/19 1:11 AM,22/May/19 1:50 AM,28/Oct/23 2:25 AM,22/May/19 1:49 AM,,0,,,"The Track and Trace UI example should be fulling integrated with Grid. This includes using the Grid Daemon 's REST API and state delta export, and using a Sabre transaction processor to handle the Grid Track and Trace smart contract. ",,agunde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,ghx-label-2,,Track and Trace 0.1,Done,No,,Unset,No,,,"1|i00o1b:",,,,Unset,Unset,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),agunde,,,,,,,,,
Bootstrap Hyperledger Grid,GRID-12,39867,,Epic,Backlog,GRID,Grid,software,amundson,,,Medium,,amundson,agunde,agunde,17/May/19 1:35 AM,25/Sep/19 5:08 AM,28/Oct/23 2:25 AM,,,0,,,"Create Grid Repo
Setup Governance for Grid
Move Current Supply Chain to Grid

Update Dockerfiles

Add Cargo Workspace

 ",,agunde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,ghx-label-2,,Bootstrap Hyperledger Grid,To Do,No,,Unset,No,,,"1|i00cxa:",,,,Unset,Unset,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),agunde,,,,,,,,,
Integrate TnT with Pike and Schema,GRID-13,39874,,Improvement,Complete,GRID,Grid,software,amundson,,,Medium,Done,eloafran,eloafran,eloafran,17/May/19 3:48 AM,30/May/19 2:17 AM,28/Oct/23 2:25 AM,30/May/19 2:17 AM,,0,,,"Requirement:
 * Update Track and Trace Transaction Processor to use the TnT protocols in the sdk, instead of the deprecated proto messages.
 * Track and Trace Transaction Processor should use agents from the pike transaction family 
 * Track and Trace Transaction Processor should use schema from the schema transaction family instead of RecordType and TrackAndTracePropertyValue",,eloafran,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,GRID-10,,,No,,Unset,No,,,"1|i00ljo:",,,,Unset,Unset,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),eloafran,,,,,,,,,
Add CLI integration tests,GRID-14,39873,,Improvement,Backlog,GRID,Grid,software,amundson,,,Medium,,satelander,satelander,satelander,17/May/19 3:47 AM,04/Sep/19 10:33 PM,28/Oct/23 2:25 AM,,,0,,,Adds integration testing to the Grid CLI.,,satelander,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|i00ljj:i",,,,Unset,Unset,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),satelander,,,,,,,,,
Implement Track And Trace State Delta Export in Grid,GRID-15,39875,,New Feature,Complete,GRID,Grid,software,amundson,,,Medium,Done,RobinBanks,RobinBanks,RobinBanks,17/May/19 3:50 AM,21/May/19 5:09 AM,28/Oct/23 2:25 AM,21/May/19 5:09 AM,,0,,,"Add Track and Trace transaction family to Grid Daemon.

 

Requirements
 * Define database schema that maps to Track and Trace protobuf definition
 * Add Track and Trace namespace to Grid Daemon and logic to subscribe to Track and Trace events
 * Logic to map Track and Trace events to database schema",,RobinBanks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,GRID-10,,,No,,Unset,No,,,"1|i00ljj:9",,,,Unset,Unset,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),RobinBanks,,,,,,,,,
Implement Record endpoints,GRID-16,39876,,New Feature,Complete,GRID,Grid,software,amundson,,,Medium,Done,dplumb,dplumb,dplumb,17/May/19 4:13 AM,08/Jun/19 12:47 AM,28/Oct/23 2:25 AM,08/Jun/19 12:47 AM,,0,,,"Add TnT Rest API  functionality to the grid daemon.

This includes the following endpoints:
 * `GET /record`
 * `GET /record/\{record_id}`

The openapi.yaml spec should also be updated accordingly.",,dplumb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,GRID-10,,,No,,Unset,No,,,"1|i00ljw:",,,,Unset,Unset,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),dplumb,,,,,,,,,
Update Track and Trace UI Agents,GRID-17,39877,,Improvement,Complete,GRID,Grid,software,amundson,,,Medium,Done,newhall,dplumb,dplumb,17/May/19 4:17 AM,05/Jun/19 3:21 AM,28/Oct/23 2:25 AM,05/Jun/19 3:21 AM,,0,,,Update the Track and Trace UIs to use Pike Agents rather than the depreciated TnT agents. Code needs a significant refactor to simplify the logic and improve readability.,,dplumb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,GRID-10,,,No,,Unset,No,,,"1|i00ljx:",,,,Unset,Unset,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),dplumb,,,,,,,,,
Implement Product,GRID-18,39927,,New Feature,Complete,GRID,Grid,software,amundson,,,Medium,Done,adeeb.ahmed,adeeb.ahmed,adeeb.ahmed,21/May/19 12:11 AM,22/May/19 5:16 AM,28/Oct/23 2:25 AM,22/May/19 5:16 AM,,0,,,"This is a duplicate of https://jira.hyperledger.org/browse/GRID-20

 ",,adeeb.ahmed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,GRID-19,,,No,,Unset,No,,,"1|i00ob3:",,,,Unset,Unset,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),adeeb.ahmed,,,,,,,,,
Grid Product,GRID-19,39928,,Epic,Backlog,GRID,Grid,software,amundson,,,Medium,,amundson,adeeb.ahmed,adeeb.ahmed,21/May/19 12:14 AM,25/Sep/19 5:08 AM,28/Oct/23 2:25 AM,,,0,,,"The scope of this epic includes the Grid Product RFC and implementation of the RFC.

The RFC is at: https://github.com/hyperledger/grid-rfcs/pull/5",,adeeb.ahmed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,ghx-label-2,,Grid Product,To Do,No,,Unset,No,,,"1|i00cww:",,,,Unset,Unset,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),adeeb.ahmed,,,,,,,,,
Add Grid Product Smart Contract,GRID-20,39936,,New Feature,Complete,GRID,Grid,software,amundson,,,Medium,Done,adeeb.ahmed,mfford,mfford,21/May/19 4:46 AM,01/Aug/19 4:42 AM,28/Oct/23 2:25 AM,01/Aug/19 4:42 AM,,0,,,"Implement the Grid Product smart contract and add it to the grid/contract registry. 

This story includes the following:
 * Add grid product addressing, state, -and payload proto files-
 * -*Add rust native implementations to the grid SDK protocols*-
 * Implement the smart contract so it can be run in Sabre
 * Add unit tests using a MockTransactionContext (see grid schema for example, use sawtooth-sdk 0.3 and sabre sdk 0.2)
 * Add a Sabre contract file (see [https://github.com/hyperledger/grid/blob/ca9f19ff74ba8dec53e08a8e3a07d001c5f08573/contracts/schema/schema.yaml] for example)
 * Add Dockerfile and add deploying the contract to Sabre in the docker-compose files",,agunde,mfford,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,GRID-19,,,No,,Unset,No,,,"1|i00ljp:i",,,,Unset,Unset,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),agunde,mfford,,,,,"04/Jun/19 3:09 AM;agunde;Breaking out the protocols into their own story.;;;",,,
